time(s),Co2-mass(g)
0,33.79
0.0017,33.56792861
0.0034,33.35209972
0.0051,33.14233784
0.0068,32.93847243
0.0085,32.74033773
0.0102,32.54777267
0.0119,32.36062067
0.0136,32.17872956
0.0153,32.00195147
0.017,31.83014267
0.0187,31.66316346
0.0204,31.50087809
0.0221,31.34315461
0.0238,31.18986479
0.0255,31.04088398
0.0272,30.89609108
0.0289,30.75536834
0.0306,30.61860137
0.0323,30.48567895
0.034,30.35649303
0.0357,30.23093856
0.0374,30.10891346
0.0391,29.99031853
0.0408,29.87505734
0.0425,29.76303617
0.0442,29.65416395
0.0459,29.54835216
0.0476,29.44551478
0.0493,29.34556818
0.051,29.24843112
0.0527,29.1540246
0.0544,29.06227188
0.0561,28.97309836
0.0578,28.88643153
0.0595,28.80220094
0.0612,28.72033809
0.0629,28.64077643
0.0646,28.56345127
0.0663,28.48829975
0.068,28.41526076
0.0697,28.34427491
0.0714,28.2752845
0.0731,28.20823343
0.0748,28.14306719
0.0765,28.07973279
0.0782,28.01817874
0.0799,27.95835499
0.0816,27.90021291
0.0833,27.84370521
0.085,27.78878597
0.0867,27.73541052
0.0884,27.68353547
0.0901,27.63311865
0.0918,27.58411906
0.0935,27.53649686
0.0952,27.49021333
0.0969,27.44523085
0.0986,27.40151284
0.1003,27.35902376
0.102,27.31772906
0.1037,27.27759516
0.1054,27.23858944
0.1071,27.20068019
0.1088,27.16383657
0.1105,27.12802864
0.1122,27.09322728
0.1139,27.0594042
0.1156,27.02653189
0.1173,26.99458364
0.119,26.96353346
0.1207,26.93335611
0.1224,26.90402705
0.1241,26.87552244
0.1258,26.84781911
0.1275,26.82089452
0.1292,26.7947268
0.1309,26.76929465
0.1326,26.74457741
0.1343,26.72055499
0.136,26.69720783
0.1377,26.67451698
0.1394,26.65246397
0.1411,26.63103087
0.1428,26.61020027
0.1445,26.58995523
0.1462,26.57027927
0.1479,26.55115642
0.1496,26.53257111
0.1513,26.51450824
0.153,26.49695313
0.1547,26.47989149
0.1564,26.46330946
0.1581,26.44719356
0.1598,26.43153068
0.1615,26.41630809
0.1632,26.40151341
0.1649,26.38713461
0.1666,26.37316001
0.1683,26.35957823
0.17,26.34637825
0.1717,26.33354932
0.1734,26.32108101
0.1751,26.30896319
0.1768,26.29718601
0.1785,26.28573989
0.1802,26.27461552
0.1819,26.26380386
0.1836,26.25329612
0.1853,26.24308376
0.187,26.23315847
0.1887,26.22351218
0.1904,26.21413705
0.1921,26.20502546
0.1938,26.19617
0.1955,26.18756347
0.1972,26.17919887
0.1989,26.1710694
0.2006,26.16316846
0.2023,26.15548961
0.204,26.14802662
0.2057,26.14077341
0.2074,26.13372409
0.2091,26.12687294
0.2108,26.12021437
0.2125,26.11374297
0.2142,26.10745349
0.2159,26.1013408
0.2176,26.09539995
0.2193,26.0896261
0.221,26.08401455
0.2227,26.07856074
0.2244,26.07326024
0.2261,26.06810874
0.2278,26.06310205
0.2295,26.0582361
0.2312,26.05350693
0.2329,26.0489107
0.2346,26.04444367
0.2363,26.04010221
0.238,26.03588279
0.2397,26.03178199
0.2414,26.02779645
0.2431,26.02392295
0.2448,26.02015834
0.2465,26.01649955
0.2482,26.01294361
0.2499,26.00948762
0.2516,26.00612879
0.2533,26.00286438
0.255,25.99969172
0.2567,25.99660826
0.2584,25.99361147
0.2601,25.99069892
0.2618,25.98786824
0.2635,25.98511713
0.2652,25.98244336
0.2669,25.97984475
0.2686,25.97731919
0.2703,25.97486462
0.272,25.97247905
0.2737,25.97016054
0.2754,25.9679072
0.2771,25.96571721
0.2788,25.96358877
0.2805,25.96152017
0.2822,25.95950972
0.2839,25.95755578
0.2856,25.95565676
0.2873,25.95381113
0.289,25.95201738
0.2907,25.95027405
0.2924,25.94857973
0.2941,25.94693304
0.2958,25.94533263
0.2975,25.94377722
0.2992,25.94226552
0.3009,25.94079632
0.3026,25.93936842
0.3043,25.93798066
0.306,25.93663191
0.3077,25.93532107
0.3094,25.93404708
0.3111,25.93280891
0.3128,25.93160554
0.3145,25.93043599
0.3162,25.92929932
0.3179,25.92819461
0.3196,25.92712095
0.3213,25.92607747
0.323,25.92506332
0.3247,25.92407768
0.3264,25.92311974
0.3281,25.92218874
0.3298,25.9212839
0.3315,25.9204045
0.3332,25.91954982
0.3349,25.91871917
0.3366,25.91791186
0.3383,25.91712725
0.34,25.9163647
0.3417,25.91562358
0.3434,25.91490329
0.3451,25.91420325
0.3468,25.91352289
0.3485,25.91286166
0.3502,25.91221901
0.3519,25.91159442
0.3536,25.9109874
0.3553,25.91039744
0.357,25.90982406
0.3587,25.9092668
0.3604,25.9087252
0.3621,25.90819883
0.3638,25.90768726
0.3655,25.90719006
0.3672,25.90670684
0.3689,25.90623721
0.3706,25.90578078
0.3723,25.90533718
0.374,25.90490604
0.3757,25.90448703
0.3774,25.90407979
0.3791,25.90368401
0.3808,25.90329935
0.3825,25.9029255
0.3842,25.90256216
0.3859,25.90220903
0.3876,25.90186583
0.3893,25.90153228
0.391,25.9012081
0.3927,25.90089304
0.3944,25.90058683
0.3961,25.90028923
0.3978,25.9